state,ageGroup,raceEthnicity,gender,education,smokingStatus,alcoholPerWeek,anyPhysicalActivity,n,n_2035
OH,8,3,2,3,2,0,0,937,827
OH,8,3,2,3,2,0,1,5055,4462
OH,8,3,2,3,2,1,1,7697,6794
OH,8,3,2,3,2,2,1,682,602
OH,8,3,2,3,2,3,0,511,451
OH,8,3,2,4,0,0,0,8293,7320
OH,8,3,2,4,0,0,1,13491,11908
OH,8,3,2,4,0,1,0,1988,1755
OH,8,3,2,4,0,1,1,22011,19429
OH,8,3,2,4,0,2,1,937,827
OH,8,3,2,4,1,0,0,5595,4939
OH,8,3,2,4,1,0,1,9543,8423
OH,8,3,2,4,1,1,1,2925,2582
OH,8,3,2,4,1,3,0,852,752
OH,8,3,2,4,1,3,1,3153,2783
OH,8,3,2,4,2,0,0,2925,2582
OH,8,3,2,4,2,0,1,5851,5164
OH,8,3,2,5,0,0,0,2954,2607
OH,8,3,2,5,0,0,1,27634,24392
OH,8,3,2,5,0,1,0,3238,2858
OH,8,3,2,5,0,1,1,56973,50289
OH,8,3,2,5,0,3,0,625,552
OH,8,3,2,5,1,0,0,568,501
OH,8,3,2,5,1,0,1,9571,8448
OH,8,3,2,5,1,1,0,2471,2181
OH,8,3,2,5,1,1,1,9316,8223
OH,8,3,2,5,1,2,0,2897,2557
OH,8,3,2,5,1,2,1,2329,2056
OH,8,3,2,5,1,3,1,2414,2131
OH,8,3,2,5,2,0,1,369,326
OH,8,3,2,5,2,1,0,824,727
OH,8,3,2,5,2,1,1,2869,2532
OH,8,3,2,5,2,3,0,341,301
OH,8,3,2,5,2,3,1,1562,1379
OH,8,4,1,1,0,0,1,16168,14392
OH,8,4,1,3,0,0,1,6284,5594
OH,8,4,1,3,0,1,1,5841,5200
OH,8,4,1,3,2,1,1,7055,6280
OH,8,4,1,4,0,0,1,4683,4168
OH,8,4,1,4,1,2,1,9474,8434
OH,8,4,1,5,0,0,0,5385,4793
OH,8,4,1,5,0,1,1,5092,4532
OH,8,4,1,5,1,1,0,8179,7281
OH,8,4,2,3,0,0,1,1294,1117
OH,8,4,2,3,0,3,0,4841,4177
OH,8,4,2,4,0,0,0,13463,11617
OH,8,4,2,4,0,0,1,4834,4171
OH,8,4,2,4,0,1,1,9889,8533
OH,8,4,2,4,0,3,0,4834,4171
OH,8,4,2,4,2,0,1,1046,903
OH,8,4,2,5,0,0,0,3654,3153
OH,8,4,2,5,0,0,1,9507,8204
OH,8,4,2,5,0,1,1,13684,11808
OH,8,2,1,2,0,1,1,3859,4014
OH,8,2,1,3,0,1,1,2038,2120
OH,8,2,1,3,1,1,1,959,997
OH,8,2,1,3,2,3,1,1205,1253
OH,8,2,1,4,1,0,1,4352,4526
OH,8,2,1,4,1,1,1,1366,1421
OH,8,2,1,5,0,0,1,2402,2499
OH,8,2,1,5,0,1,1,2192,2279
OH,8,2,1,5,2,0,1,985,1024
OH,8,2,1,5,2,2,1,333,346
OH,8,2,2,2,0,1,1,1201,1263
OH,8,2,2,2,2,1,1,4484,4716
OH,8,2,2,4,0,0,0,2484,2613
OH,8,2,2,4,0,1,0,2348,2469
OH,8,2,2,4,0,1,1,2990,3145
OH,8,2,2,5,0,0,1,4982,5240
OH,8,2,2,5,2,1,0,249,262
OH,8,5,1,3,0,0,1,1927,2012
OH,8,5,1,3,0,1,1,1012,1057
OH,8,5,1,3,1,0,1,1811,1891
OH,8,5,1,3,1,1,1,1392,1454
OH,8,5,1,3,1,3,1,834,871
OH,8,5,1,3,2,3,1,402,420
OH,8,5,1,4,1,0,1,1788,1867
OH,8,5,1,5,0,0,1,4396,4590
OH,8,5,1,5,0,1,1,4139,4322
OH,8,5,1,5,1,1,1,2710,2829
OH,8,5,1,5,2,0,1,332,347
OH,8,5,2,1,0,0,0,3064,3348
OH,8,5,2,3,0,0,0,788,861
OH,8,5,2,3,0,0,1,2531,2766
OH,8,5,2,3,1,1,1,1464,1600
OH,8,5,2,3,2,0,0,570,623
OH,8,5,2,3,2,1,1,1257,1373
OH,8,5,2,4,0,0,0,1003,1097
OH,8,5,2,4,0,0,1,1653,1807
OH,8,5,2,4,0,1,0,217,238
OH,8,5,2,4,2,0,1,100,109
OH,8,5,2,4,2,1,0,1143,1249
OH,8,5,2,5,0,0,1,1502,1642
OH,8,5,2,5,0,1,1,2463,2692
OH,8,5,2,5,0,2,1,523,571
OH,8,5,2,5,1,0,0,1665,1820
OH,9,3,1,1,0,0,1,7579,7051
OH,9,3,1,2,1,0,1,15158,14103
OH,9,3,1,2,1,1,1,2654,2469
OH,9,3,1,2,1,3,1,1567,1458
OH,9,3,1,3,0,0,0,2239,2083
OH,9,3,1,3,0,0,1,4445,4136
OH,9,3,1,3,0,1,1,9913,9223
OH,9,3,1,3,0,2,0,6076,5653
OH,9,3,1,3,0,2,1,1119,1041
OH,9,3,1,3,0,3,0,1791,1666
OH,9,3,1,3,0,3,1,1119,1041
OH,9,3,1,3,1,0,0,1311,1220
OH,9,3,1,3,1,0,1,18100,16840
OH,9,3,1,3,1,1,0,3294,3065
